,State,Offense_Year,Offense_Type,Offense_Count
625,AK,2013,all_other_offenses,10693
626,AK,2013,arson,66
627,AK,2013,burglary,264
628,AK,2013,curfew,6
629,AK,2013,disorderly,939
630,AK,2013,driving,2689
631,AK,2013,drug_abuse_gt,1475
632,AK,2013,drug_poss_m,757
633,AK,2013,drug_poss_opium,137
634,AK,2013,drug_poss_other,105
635,AK,2013,drug_poss_subtotal,1135
636,AK,2013,drug_poss_synthetic,136
637,AK,2013,drug_sales_m,83
638,AK,2013,drug_sales_opium,131
639,AK,2013,drug_sales_other,37
640,AK,2013,drug_sales_subtotal,340
641,AK,2013,drug_sales_synthetic,89
642,AK,2013,drunkness,100
643,AK,2013,embezzlement,87
644,AK,2013,forgery,49
645,AK,2013,fraud,172
646,AK,2013,g_all,0
647,AK,2013,g_b,0
648,AK,2013,g_n,0
649,AK,2013,g_t,0
650,AK,2013,ht_c_s_a,0
651,AK,2013,ht_i_s,0
652,AK,2013,larceny,3461
653,AK,2013,liquor,1385
654,AK,2013,manslaughter,1
655,AK,2013,mvt,215
656,AK,2013,murder,22
657,AK,2013,offense_family,224
658,AK,2013,prostitution,647
659,AK,2013,prostitution_a_p_p,0
660,AK,2013,prostitution_p,0
661,AK,2013,prostitution_p_p,0
662,AK,2013,rape,106
663,AK,2013,robbery,222
664,AK,2013,sex_offense,219
665,AK,2013,simple_assault,3590
666,AK,2013,stolen_property,32
667,AK,2013,suspicion,0
668,AK,2013,vagrancy,607
669,AK,2013,vandalism,776
670,AK,2013,weapons,234
671,AK,2013,data_year,2013
672,AK,2014,aggravated_assault,1263
673,AK,2014,all_other_offenses,10461
674,AK,2014,arson,141
675,AK,2014,burglary,282
676,AK,2014,curfew,5
677,AK,2014,disorderly,731
678,AK,2014,driving,2336
679,AK,2014,drug_abuse_gt,1159
680,AK,2014,drug_poss_m,589
681,AK,2014,drug_poss_opium,160
682,AK,2014,drug_poss_other,134
683,AK,2014,drug_poss_subtotal,951
684,AK,2014,drug_poss_synthetic,68
685,AK,2014,drug_sales_m,36
686,AK,2014,drug_sales_opium,91
687,AK,2014,drug_sales_other,45
688,AK,2014,drug_sales_subtotal,208
689,AK,2014,drug_sales_synthetic,36
690,AK,2014,drunkness,125
691,AK,2014,embezzlement,62
692,AK,2014,forgery,77
693,AK,2014,fraud,182
694,AK,2014,g_all,0
695,AK,2014,g_b,0
696,AK,2014,g_n,0
